Title,Organization,RFP_No,Contract_Val,Contract_Type,Service,Comp_Type,NAICS,Priority
INFORMATION TECHNOLOGY SUPPORT SERVICES FOR DLA INFORMATION OPERATIONS AT NEW CUMBERLAND PA SITED AT NORFOLK VA,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330013R0007,3197,Firm Fixed Price,Maintenance Support Services,8(a) Set-Aside,541519,2
INFORMATION TECHNOLOGY SUPPORT SERVICES FOR EGLIN AFB FL,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA920010R0017,3500,Firm Fixed Price,IT Professional Services,Sole Source,541519,4
INFRASTRUCTURE ANALYSIS AND STRATEGY DIVISION TECHNICAL ASSISTANCE SUPPORT,HOMELAND SECURITY/NATIONAL PROTECTION AND PROGRAMS DIRECTORATE,RNIA1200TBD,39800,Cost Reimbursement,"Management, Scientific, and Technical Consulting Services",Full and Open / Unrestricted,541690,3
INFRASTRUCTURE PROGRAM OFFICE STUDIES AND ANALYSIS SUPPORT,HOMELAND SECURITY/NATIONAL PROTECTION AND PROGRAMS DIRECTORATE,HSHQDC12R00089,8046,Cost Reimbursement,"Management, Scientific, and Technical Consulting Services",Small Bus Set-Aside,541611,2
INSCOM GLOBAL INTELLIGENCE SERVICE CONTRACT,ARMY/ARMY INTELLIGENCE AND SECURITY COMMAND ,W911W413R0005,7200000,Cost Reimbursement,"Management, Scientific, and Technical Consulting Services","Small Bus Set-Aside,Full and Open / Unrestricted",541990,3
INSTALLATION AND LOGISTICS MANAGEMENT SERVICES,HOMELAND SECURITY/US COAST GUARD,HSCG4413RILMS,295000,Firm Fixed Price,Equipment / Network,8(a) Set-Aside,541330,1
INSTALLATION STATUS REPORT SUPPORT SERVICES,ARMY/ARMY MATERIEL COMMAND,W9124J14RISR,0,Firm Fixed Price,Information Technology,Small Bus Set-Aside,541618,4
INTEGRATED DATA ENVIRONMENT AND GLOBAL TRANSPORTATION NETWORK CONVERGENCE,DEFENSE/US TRANSPORTATION COMMAND,HTC71114RD002,125000,Firm Fixed Price,IT Professional Services,Small Bus Set-Aside,541511,1
INTEGRATED DESIGN TEST AND EVALUATION SERVICES,HOMELAND SECURITY/US COAST GUARD,HSCG3214RR00013,15860,Cost Plus Fixed Fee,Research & Development,Full and Open / Unrestricted,541712,5
INTEGRATED LOGISTICS SUPPORT,NAVY/SPACE AND NAVAL WARFARE SYSTEMS COMMAND,N6600112R0119,69401,Cost Plus Fixed Fee,Administrative / Logistics / Support,Small Bus Set-Aside,541330,3
INTEGRATED LOGISTICS SUPPORT SERVICES,ARMY/ARMY MATERIEL COMMAND,W52P1J12R0004,0,Cost Plus Fixed Fee,Management Consulting,Other,541614,1
INTEGRATED LOGISTICS SUPPORT SERVICES FOR THE NAVAL FACILITIES ENGINEERING AND EXPEDITIONARY WARFARE CENTER,NAVY/NAVAL FACILITIES ENGINEERING COMMAND,N39430ILS2014,30000,Indefinite Delivery Indefinite Quantity,Administrative / Logistics / Support,Undetermined,541330,2
INTEGRATED SUPPLY CHAIN ANALYSIS,NAVY/NAVAL SEA SYSTEMS COMMAND,N6572613T0163,147,Firm Fixed Price,Administrative / Logistics / Support,Small Bus Set-Aside,541611,4
INTEGRATION OF COMMUNICATION MARKETING STRATEGIES,COMMERCE/NATIONAL TECHNICAL INFORMATION SERVICE,NTISMARKETINGSTRATEGY,0,TBD,Management Consulting,Woman Owned Small Business Set Aside,541613,3
INTELLIGENCE AND OPERATIONAL SUPPORT FOR THE NGIC QUIET STORM PROGRAM,ARMY/ARMY INTELLIGENCE AND SECURITY COMMAND ,W911W5QUIETSTORM,3253,Cost Reimbursement,"Management, Scientific, and Technical Consulting Services",Other,541690,1
INTERNATIONAL DEMAND REDUCTION SERVICES,STATE/BUREAU OF INTERNATIONAL NARCOTICS AND LAW ENFORCEMENT AFFAIRS (CODE INL),,28000,Firm Fixed Price,IT Professional Services,Service Disabled Veteran Owned Small Business,541611,5
INVENTORY ANALYSIS AND ACCURACY ASSESSMENT PROGRAM,AGRICULTURE/FOREST SERVICE,TBD,2680,Firm Fixed Price,Engineering / Scientific,Small Bus Set-Aside,541370,5
IT FORWARD BUSINESS SERVICES AND INFORMATION ACCESS WORLDWIDE,AGENCY FOR INTERNATIONAL DEVELOPMENT/BUREAU FOR MANAGEMENT (CODE M),USAIDCIOSSITFORWARD,900000,Blanket Purchase Agreement,IT Professional Services,Other,541512,1
IT PLANNING AND GOVERNANCE FOR IT ACQUISITIONS,DEFENSE/DEFENSE THREAT REDUCTION AGENCY,BIA109920730,9000,TBD,Network Support / Administration,Sole Source,541512,2
IT RESEARCH AND ADVISORY SERVICES,DEFENSE/DEFENSE LOGISTICS AGENCY,SP470114Q0020,0,TBD,IT Professional Services,Undetermined,541512,2
IT SERVICES TO DODEA HEADQUARTERS,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,,7700,Firm Fixed Price,Maintenance Support Services,8(a) Set-Aside,541513,4
IT SUPPORT FOR DLA DISTRIBUTION DLA INFORMATION OPERATIONS AT NEW CUMBERLAND PA,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330012R0004,7831,Firm Fixed Price,Information Technology,Service Disabled Veteran Owned Small Business,541513,3
IT SUPPORT SERVICES AT DLA INFORMATION OPERATIONS TOBYHANNA PENNSYLVANIA,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330012R0036,383,Firm Fixed Price,IT Professional Services,Service Disabled Veteran Owned Small Business,541513,3
IT SUPPORT SERVICES WEB CONTENT MANAGEMENT AND SHAREPOINT ADMINISTRATION FOR DLA INFORMATION OPERATIONS AT NEW CUMBERLAND PA,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330014R0003,999,Firm Fixed Price,IT Professional Services,Small Bus Set-Aside,541513,1
J3 DIRECTORATE OF ANTITERRORISM HOMELAND DEFENSE WMD ANALYST SUPPORT,DEFENSE/JOINT CHIEFS OF STAFF,,3836,Firm Fixed Price,Management Consulting,Full and Open / Unrestricted,541611,1
J332 ASSET MANAGEMENT AND DISPOSITION POLICY,DEFENSE/DEFENSE LOGISTICS AGENCY,,1440,Task Order,Administrative / Logistics / Support,Other,541611,2
J6 AUTOMATIC IDENTIFICATION TECHNOLOGY SUPPORT,DEFENSE/US TRANSPORTATION COMMAND,,2345,Labor Hour,Professional Services,Undetermined,541611,1
JECC LOGISTICS AND FACILITY SUPPORT,DEFENSE/US TRANSPORTATION COMMAND,HTC71113RD013,1925,Firm Fixed Price,Administrative / Logistics / Support,Service Disabled Veteran Owned Small Business,541611,2
JIEDDO KNOWLEDGE AND INFORMATION FUSION EXCHANGE,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,,9092,Labor Hour,Research & Development,Other,,1
JIEDDO SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,GSCQF0B1132373,209000,TBD,Engineering / Scientific,Undetermined,541712,1
JOINT CAPABILITIES PLANNING AND PROGRAMMING DIVISION,ARMY/NATIONAL GUARD BUREAU,RFQ22551,29125,Indefinite Delivery Definite Quantity,Network/Telecom Services,Other,,3
JOINT CAPABILITIES PLANNING AND PROGRAMMING DIVISION,ARMY/NATIONAL GUARD BUREAU,,29125,Indefinite Delivery Definite Quantity,IT Professional Services,Other,541618,1
JOINT DATA SUPPORT ANALYSIS SUPPORT SERVICES,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,HQ003414R0110,0,TBD,IT Professional Services,Full and Open / Unrestricted,541611,2
JOINT DISTRIBUTION PROCESS ANALYSIS CENTER SUPPORT,DEFENSE/US TRANSPORTATION COMMAND,HTC71112QD024,7241,Labor Hour,IT Professional Services,Other,541614,2
JOINT DISTRIBUTION PROCESS ANALYSIS CENTER SUPPORT,DEFENSE/US TRANSPORTATION COMMAND,,26634,Firm Fixed Price,IT Professional Services,Other,541614,5
JOINT FLOW AND ANALYSIS SYSTEM FOR TRANSPORTATION,DEFENSE/US TRANSPORTATION COMMAND,HTC71113RD009,19031,Indefinite Delivery Indefinite Quantity,Planning & Analysis,Small Bus Set-Aside,541511,3
JOINT INTEGRATED AIR AND MISSILE DEFENSE ORGANIZATION PROGRAM PROFESSIONAL TECHNICAL AND MANAGEMENT SERVICES,AIR FORCE/AIR FORCE DISTRICT OF WASHINGTON,,92812,TBD,IT Professional Services,Undetermined,541330,1
JOINT INTERAGENCY LOGISTICS INTEGRATION,NAVY/NAVAL SEA SYSTEMS COMMAND,N0002412R3267,5218,Cost Plus Fixed Fee,Engineering / Scientific,Other,541330,1
JOINT TECHNICAL SUPPORT FOR THE JOINT CHIEFS OF STAFF AND OTHER AGENCIES EUCOM,DEFENSE/JOINT CHIEFS OF STAFF,N0002413R3322,1358,Cost Plus Fixed Fee,Professional Services,Full and Open / Unrestricted,541330,1
JOINT VERIFICATION SYSTEM AND ENTERPRISE APPLICATION INTEGRATION AND PORTAL SERVICES,DEFENSE/DEFENSE LOGISTICS AGENCY,,39800,Cost Plus Incentive Fee,System Design and Architecture,8(a) Set-Aside,541512,2
JSC DATA AND DATA SOFTWARE,DEFENSE/DEFENSE INFORMATION SYSTEMS AGENCY,RFIDSOJDADS,9641,Cost Plus Incentive Fee,Program/Project Management,Other,541511,1
KNOWLEDGE MANAGEMENT AND CORPORATE APPLICATION SUPPORT,NAVY/SPACE AND NAVAL WARFARE SYSTEMS COMMAND,,3866,Cost Plus Fixed Fee,Planning & Analysis,Other,541330,1
LANDING GEAR PERFORMANCE BASED LOGISTICS FOR C130 AND KC135 AND E3,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA820314RLGPBL1,0,Firm Fixed Price,Defense & Aerospace,Undetermined,336413,1
LEAN SIX SIGMA AND CONTINUING PROCESS IMPROVEMENT SUPPORT SERVICES,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,BB082820131330,10630,Task Order,Management Consulting,Full and Open / Unrestricted,541611,3
LEAN WAREHOUSE OPERATIONS AND HEADQUARTERS OFFICE FUNCTION SUPPORT,DEFENSE/DEFENSE LOGISTICS AGENCY,,7341,Firm Fixed Price,Education and Training,Small Bus Set-Aside,541614,3
LEARNING NETWORK SYSTEMS SUPPORT SERVICES,ARMY/ARMY CORPS OF ENGINEERS,W912DY11R0024,9000,Indefinite Delivery Definite Quantity,Learning Management / E-Learning,8(a) Set-Aside,541513,1
LEGACY INFORMATION TECHNOLOGY APPLICATION,AIR FORCE/AIR FORCE MATERIEL COMMAND,RFQ662036,13028,TBD,Application Ops / Management,Other,541511,4
LEVEL 2 AND 3 HELP DESK SUPPORT SERVICES FOR THE DEFENSE LOGISTICS AGENCY HEADQUARTERS FORT BELVOIR,DEFENSE/DEFENSE LOGISTICS AGENCY,RFQ778991,25500,Blanket Purchase Agreement,Outsourcing,Other,541512,2
LEVEL 2 AND LEVEL 3 HELP DESK SUPPORT SERVICES FOR BATTLECREEK,DEFENSE/DEFENSE LOGISTICS AGENCY,,0,Task Order,Help Desk Services,Other,,4
LEVEL 2 SUPPORT A AND AS SERVICES FOR PURCHASING AND SUPPLY CHAIN MANAGEMENT,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA825113R0024,3960,Cost Reimbursement,Management Consulting,"Small Bus Set-Aside,Other",541611,2
LOGISTICAL SUPPORT SERVICES AND WAREHOUSE SERVICES,ARMY/SECRETARY OF THE ARMY,W52P1J13QML01,2001,Firm Fixed Price,Administrative / Logistics / Support,Other,493110,1
LOGISTICAL TECHNICAL ENGINEERING DATA AND PROJECT MANAGEMENT SUPPORT,NAVY/NAVAL SEA SYSTEMS COMMAND,N0002413R3227,40078,Task Order,Professional Services,Full and Open / Unrestricted,541330,1
LOGISTICS AND CONSULTING SERVICES,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA822411R1004,9900,Firm Fixed Price,Administrative / Logistics / Support,Small Bus Set-Aside,541614,1
LOGISTICS AND PHYSICAL DISTRIBUTION FOR CHEMICAL BIOLOGICAL WARFARE INDIVIDUAL PROTECTION SYSTEMS AND SURFACE LIFE SUPPORT SYSTEMS FOR EXTREME ENVIRONMENTS LIFE CYCLE MANAGEMENT SUPPORT,NAVY/NAVAL SEA SYSTEMS COMMAND,N0002413R3181,55486,Cost Plus Fixed Fee,Administrative / Logistics / Support,Full and Open / Unrestricted,541330,2
LOGISTICS AND TECHNICAL SUPPORT SERVICES FOR NAVAIR SUPPORT EQUIPMENT REWORK PROGRAM,NAVY/NAVAL AIR SYSTEMS COMMAND,RFQ654239,10975,Firm Fixed Price,Information Technology,Other,541330,1
LOGISTICS DATA ON PORTABLE MEDIA FOR THE DEFENSE LOGISTICS INFORMATION SERVICE,DEFENSE/DEFENSE LOGISTICS AGENCY,SP700012R1017,9032,Firm Fixed Price,Maintenance Support Services,Small Bus Set-Aside,541511,5
LOGISTICS MANAGEMENT SUPPORT,MARINE CORPS,M0026414R0019,0,Cost Reimbursement,Administrative / Logistics / Support,8(a) Set-Aside,541614,1
LOGISTICS MANAGEMENT SUPPORT FOR PMA 262,NAVY/NAVAL AIR SYSTEMS COMMAND,N0002409R3539,39533,Cost Plus Fixed Fee,Engineering / Scientific,Full and Open / Unrestricted,541330,1
LOGISTICS MODERNIZATION (LOGMOD) SUPPORT SERVICES,MARINE CORPS/MARINE CORPS SYSTEMS COMMAND,,18248,Cost Plus Fixed Fee,Professional Services,Small Bus Set-Aside,541330,1
LOGISTICS SUPPORT,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,HQ003413R0019,12594,Firm Fixed Price,Administrative / Logistics / Support,8(a) Set-Aside,493110,2
LOGISTICS SUPPORT FOR THE NAVAL SEA LOGISTICS CENTER,NAVY/NAVAL SEA SYSTEMS COMMAND,N0002410R3043,0,Task Order,IT Professional Services,Other,541330,2
LOGISTICS SUPPORT SERVICES,TRANSPORTATION/FEDERAL AVIATION ADMINISTRATION,DTFAAC13MS00001,60000,Indefinite Delivery Indefinite Quantity,Administrative / Logistics / Support,Small Bus Set-Aside,561990,1
LOGISTICS SUPPORT SERVICES AT ABERDEEN PROVING GROUND EAGLE STEP 3,ARMY/ARMY MATERIEL COMMAND,W52P1J13R0033,0,Cost Plus Fixed Fee,Administrative / Logistics / Support,"8(a) Set-Aside,Other",561210,3
MAJOR INITIATIVE 2 VETERAN BENEFITS MANAGEMENT SYSTEM,VETERANS AFFAIRS/OFFICE OF INFORMATION AND TECHNOLOGY,VA11810RI0045,1026000,TBD,Professional Services,Full and Open / Unrestricted,541330,1
MANAGEMENT AND ANALYTICAL SUPPORT TO AIR FORCE RESERVE ON PLANNING PROGRAMMING AND RELATED SERVICES,AIR FORCE/AIR FORCE RESERVE COMMAND,F3QTBV2082A001,1676,Firm Fixed Price,"Management, Scientific, and Technical Consulting Services",Full and Open / Unrestricted,541990,2
MANAGEMENT AND BUSINESS OPERATIONS SUPPORT SERVICES,NAVY/SPACE AND NAVAL WARFARE SYSTEMS COMMAND,,65999,Cost Plus Fixed Fee,Professional Services,Full and Open / Unrestricted,561499,2
MANAGEMENT AND FUNCTIONAL SUPPORT SERVICES FOR PERSONNEL AND PAY MODERNIZATION EFFORTS,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018913RZ001,32578,Cost Plus Fixed Fee,Administrative / Logistics / Support,Full and Open / Unrestricted,541990,1
MANAGEMENT AND TECHNICAL SUPPORT FOR THE SIMULATION AND ANALYSIS FACILITY,AIR FORCE/AIR FORCE MATERIEL COMMAND,,4250,Cost Reimbursement,Management Consulting,Undetermined,541519,5
MANAGEMENT ASSESSMENT AND STANDARD OPERATING PROCEDURES PROGRAM,NAVY/NAVAL FACILITIES ENGINEERING COMMAND,N4008013CXXXX,0,TBD,Management Consulting,Undetermined,541611,2
MANAGEMENT CONSULTING STUDIES,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,HQ003412R3021,0,TBD,Professional Services,Undetermined,541611,2
MANAGEMENT OF DATA ACROSS DOMAINS AND BIG DATA,ARMY/ARMY MATERIEL COMMAND,W15P7T12RA372,0,TBD,Components & Peripherals,Undetermined,335999,1
MANAGEMENT SUPPORT SERVICES,HOMELAND SECURITY/US COAST GUARD,,3607,Firm Fixed Price,Program/Project Management,8(a) Set-Aside,541611,1
MANAGEMENT SUPPORT SERVICES,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018920122848,0,Cost Plus Fixed Fee,Professional Services,Full and Open / Unrestricted,541990,1
"MANAGEMENT, ORGANIZATIONAL, AND BUSINESS IMPROVEMENT SERVICES, FINANCIAL AND BUSINESS SOLUTIONS AND HUMAN RESOURCES SERVICES SUPPORT FOR NAVAIR",NAVY/NAVAL AIR SYSTEMS COMMAND,,85000,Cost Plus Fixed Fee,Information Technology,Full and Open / Unrestricted,541611,1
MANAGING RISK ON VA INFORMATION SYSTEMS AND CONTINUOUS MONITORING,VETERANS AFFAIRS/OFFICE OF INFORMATION AND TECHNOLOGY,VA798A11RP0176,3500,Firm Fixed Price,Information Technology,Service Disabled Veteran Owned Small Business,541511,4
MANPOWER SUPPORT SERVICES FOR ROBINS AFB,AIR FORCE/AIR FORCE MATERIEL COMMAND,,74500,Cost Plus Fixed Fee,Engineering / Scientific,Undetermined,541330,2
MARINE CORPS LOGISTICS SUPPORT SERVICES SMALL BUSINESS,MARINE CORPS/MARINE CORPS LOGISTICS COMMAND,M6700411R0004,0,Indefinite Delivery Indefinite Quantity,Administrative / Logistics / Support,Small Bus Set-Aside,541611,1
MATERIAL FIELDING SUPPORT SERVICES AND MEDICAL LIAISON SUPPORT SERVICES FOR THE ARMY MEDICAL MATERIEL AGENCY,ARMY/ARMY MEDICAL COMMAND,CMS20146848,20125,Cost Plus Fixed Fee,Medical/Laboratory Equipment & Products,Full and Open / Unrestricted,541614,1
MATH AND SCIENCE PARTNERSHIP PROGRAM EVALUATION,NATIONAL SCIENCE FOUNDATION/DIRECTORATE FOR MATHEMATICAL AND PHYSICAL SCIENCES,TBD,5000,Cost Plus Fixed Fee,Management Consulting,Full and Open / Unrestricted,611710,1
METRIC ANALYSIS SUPPORT SERVICE,DEFENSE/DEFENSE SECURITY COOPERATION AGENCY,HQ001314R0005,0,Firm Fixed Price,Administrative / Logistics / Support,Small Bus Set-Aside,541611,1
MISSILE TECHNICAL ORDER SUPPORT SERVICES,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA810714R0004,0,Firm Fixed Price,IT Professional Services,Small Bus Set-Aside,518210,5
MOBILE TECHNOLOGY,DEFENSE/DEFENSE LOGISTICS AGENCY,DLADispSvscsSS0002,0,TBD,Mobile and Wireless Equipment,Undetermined,541519,5
MODEL BASED SIMULATION DEVELOPMENT AND ADVANCED CONCEPT PERFORMANCE ASSESSMENT,DEFENSE/MISSILE DEFENSE AGENCY,HQ014713DVRFI2,0,Indefinite Delivery Definite Quantity,Simulation and Modeling,Small Bus Set-Aside,541712,1
MODELING AND SIMULATION FOR CONTESTED ENVIRONMENTS,DEFENSE/DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,DARPASN1341,0,TBD,Research & Development,Full and Open / Unrestricted,541712,1
MODELING AND SIMULATION SUPPORT SERVICES FOR THE JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,N6893612R0016,3922,TBD,Simulation and Modeling,Sole Source,541712,1
MODELS AND SIMULATIONS SUPPORT AT FORT SILL,ARMY/ARMY MATERIEL COMMAND,W9124L13R0012,0,Firm Fixed Price,Simulation and Modeling,Small Bus Set-Aside,541712,1
NATIONAL INFRASTRUCTURE PROTECTION PLAN PROGRAM MANAGEMENT OFFICE TECHNICAL SUPPORT SERVICES,HOMELAND SECURITY/NATIONAL PROTECTION AND PROGRAMS DIRECTORATE,HSHQDC12Q00180,3524,Task Order,Management Consulting,Other,541611,1
NATIONAL RECORDS MANAGEMENT PROGRAM,HOMELAND SECURITY/FEDERAL EMERGENCY MANAGEMENT AGENCY,,6935,Firm Fixed Price,Professional Services,8(a) Set-Aside,541611,1
NATIONAL SECURITY EMERGENCY PREPAREDNESS PROGRAM,ENVIRONMENTAL PROTECTION AGENCY/SOLID WASTE AND EMERGENCY RESPONSE,SOLHQ1400001,7474,Firm Fixed Price,Professional Services,8(a) Set-Aside,541620,1
NAVAL AIR WARFARE CENTER AIRCRAFT DIVISION SUPPORT CONTRACT IDIQ,NAVY/NAVAL AIR SYSTEMS COMMAND,14233SOL00402,0,Indefinite Delivery Indefinite Quantity,Professional Services,Small Bus Set-Aside,541512,1
NAVAL INTEGRATED TACTICAL ENVIRONMENTAL SYSTEM NEXT GENERATION,"NAVY/ASST SEC OF THE NAVY (RESEARCH, DEVELOPMENT AND ACQUISITION)",N0003908R0002,67719,Cost Plus Fixed Fee,IT Professional Services,Full and Open / Unrestricted,541511,2
NAVAL OPERATIONAL LOGISTICS SUPPORT CENTERS ORDINANCE INFORMATION SYSTEM PROGRAM MANAGEMENT AND TECHNICAL SUPPORT SERVICES,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,,129978,Cost Plus Fixed Fee,Information Technology,Full and Open / Unrestricted,541519,1
NETCENTS II  IT PROFESSIONAL SUPPORT ENGINEERING SERVICES,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA877109R0028,710000,Cost Plus Award Fee,Engineering / Scientific,Service Disabled Veteran Owned Small Business,541512,2
NETCENTS II APPLICATION SOFTWARE SERVICES SMALL BUSINESS SET ASIDE,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA877109R0021,960000,Cost Plus Award Fee,Network/Telecom Services,Small Bus Set-Aside,541511,2
NETWORK MANAGEMENT SUPPORT SERVICES,"JUSTICE/BUREAU OF ALCOHOL, TOBACCO, FIREARMS AND EXPLOSIVES",DJA13AHDQR0035,7115,Indefinite Delivery Indefinite Quantity,Network/Telecom Services,8(a) Set-Aside,541513,5
NETWORK OPERATIONS SECURITY CENTER  ENTERPRISE SERVICES CENTER  AND DISASTER RECOVERY CENTER EXPANSION,DEFENSE/DEFENSE LOGISTICS AGENCY,,0,TBD,Outsourcing,Undetermined,,2
NEXT GENERATION ECOMMERCE SOLUTION,DEFENSE/DEFENSE LOGISTICS AGENCY,SP470114R0050,0,Cost Plus Incentive Fee,Development Tools,Full and Open / Unrestricted,541512,2
NGA ORGANIZATIONAL EFFECTIVENESS AND CHANGE MANAGEMENT,DEFENSE/NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY,HM017713T0036,9600,TBD,Management Consulting,Other,541611,4
NGB DOMESTIC OPERATIONS AND FORCE DEVELOPMENT STRATEGIC SUPPORT,ARMY/NATIONAL GUARD BUREAU,W9133L14R0007,1630,TBD,Administrative / Logistics / Support,Undetermined,541611,1
NITC OMNIBUS ENTERPRISE OPERATIONS SUPPORT SERVICES,NAVY/NAVAL FACILITIES ENGINEERING COMMAND,N3943013R1203,17018,Firm Fixed Price,Network Management,Service Disabled Veteran Owned Small Business,541519,1
NON PERSONAL INFORMATION TECHNOLOGY SERVICES FOR THE UNITED STATES ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND 9TH ARMY SIGNAL COMMAND,ARMY/CHIEF INFORMATION OFFICER,W91RUS11R0010,73606,Cost Plus Fixed Fee,Base Operations / Facilities Management,Small Bus Set-Aside,517110,4
NON PERSONAL PROFESSIONAL TECHNICAL ANALYTICAL AND EXECUTIVE LEVEL ADMINISTRATIVE SUPPORT SERVICE,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,,250000,Blanket Purchase Agreement,Administrative / Logistics / Support,Undetermined,541611,1
NSETS III PROGRAM FOR THE NATIONAL SECURITY AGENCY,DEFENSE/NATIONAL SECURITY AGENCY,,800000,Firm Fixed Price,IT Professional Services,Other,,2
OCONUS IT SUPPORT SERVICES,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330012R0020,6501,Firm Fixed Price,Equipment Maintenance,Full and Open / Unrestricted,541511,1
OFFENSIVE MISSILE SYSTEMS ANALYSIS AND SUPPORT,DEFENSE/DEFENSE INTELLIGENCE AGENCY,HHM40214R0025,0,Cost Plus Fixed Fee,IT Professional Services,Full and Open / Unrestricted,541712,1
OHA WIDE SETA,HOMELAND SECURITY/OFFICE OF THE SECRETARY,HSHQDC13Q00004,22500,Blanket Purchase Agreement,"Management, Scientific, and Technical Consulting Services",Full and Open / Unrestricted,541690,1
ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES SMALL BUSINESS,GENERAL SERVICES ADMINISTRATION/FEDERAL ACQUISITION SERVICE,GS00Q13DR0002,0,Indefinite Delivery Indefinite Quantity,Professional Services,Small Bus Set-Aside,541330,5
ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES UNRESTRICTED,GENERAL SERVICES ADMINISTRATION/FEDERAL ACQUISITION SERVICE,GS00Q13DR0001,0,Indefinite Delivery Indefinite Quantity,Professional Services,Full and Open / Unrestricted,541330,2
ONLINE INFORMATION RETRIEVAL SYSTEM,DEFENSE/DEFENSE LOGISTICS AGENCY,SP470512Q0016,0,Firm Fixed Price,Information Technology,Full and Open / Unrestricted,519190,1
ONSITE INFORMATION MANAGEMENT SERVICES,ENVIRONMENTAL PROTECTION AGENCY/RESEARCH AND DEVELOPMENT,SOLCI1300022,5338,Firm Fixed Price,Administrative / Logistics / Support,8(a) Set-Aside,541614,5
OPERATIONAL AND ADMINISTRATIVE SUPPORT SERVICES FOR THE OFFICE OF US FOREIGN DISASTER ASSISTANCE,"AGENCY FOR INTERNATIONAL DEVELOPMENT/BUREAU FOR DEMOCRACY, CONFLICT AND HUMANITARIAN ASSISTANCE",SOLOAA12000090,0,TBD,Professional Services,Undetermined,541611,1
OPERATIONAL TEST AND EVALUATION ENGINEERING SERVICES,MARINE CORPS,M0026412R0031,94000,Cost Reimbursement,Quality Assurance / Testing / IV&V,Full and Open / Unrestricted,541330,1
OPERATIONS AND MANAGEMENT SUPPORT FOR THE PROJECT MANAGER DEFENSE COMMUNICATIONS AND ARMY TRANSMISSION SYSTEMS,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",W52P1J13RPMDCATS,0,TBD,Operations & Maintenance,Undetermined,541611,2
OPERATIONS RESEARCH AND ANALYSIS SERVICES,TRANSPORTATION/RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,DTRT5714R20001,40000,Cost Plus Fixed Fee,Professional Services,Full and Open / Unrestricted,541690,5
OPERATIONS RESEARCH AND MATHEMATICAL MODELING SUPPORT SERVICES,HOMELAND SECURITY/US COAST GUARD,HSCG3212RR00003,7831,Cost Plus Fixed Fee,Research & Development,Full and Open / Unrestricted,541330,4
OPERATIONS SUPPORT SERVICES,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,,3407,Firm Fixed Price,Administrative and Support Services,Undetermined,541611,1
OPERATIONS SUPPORT SERVICES CONTRACT INITIATIVE FOR JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,GSCQF0B1132376,900000,Indefinite Delivery Definite Quantity,Professional Services,Full and Open / Unrestricted,541712,3
ORDER MANAGEMENT PROCESS IMPROVEMENT,DEFENSE/DEFENSE LOGISTICS AGENCY,,958,Firm Fixed Price,Administrative / Logistics / Support,Other,541611,3
ORGANIZATIONAL ASSESSMENT AND PLANNING,HOMELAND SECURITY/FEDERAL EMERGENCY MANAGEMENT AGENCY,HSFE4013I0014,0,TBD,Risk Management,Undetermined,541618,2
PERFORMANCE BASED LOGISTICS SUPPORT FOR THE AVIATION LOGISTICS CENTER,HOMELAND SECURITY/US COAST GUARD,HSCG3812RJ00002SS,37450,Firm Fixed Price,Administrative / Logistics / Support,Sole Source,541330,1
